5;Santi Aldama;PF;22;MEM;77;20;21.8;3.2;6.8;0.47;1.2;3.5;0.353;2;3.4;0.591;0.56;1.4;1.9;0.75;1.1;3.7;4.8;1.3;0.6;0.6;0.8;1.9;9
10;Kyle Anderson;PF;29;MIN;69;46;28.4;3.7;7.2;0.509;0.6;1.5;0.41;3;5.7;0.536;0.553;1.4;2;0.735;1;4.4;5.3;4.9;1.1;0.9;1.5;2.1;9.4
11;Giannis Antetokounmpo;PF;28;MIL;63;63;32.1;11.2;20.3;0.553;0.7;2.7;0.275;10.5;17.6;0.596;0.572;7.9;12.3;0.645;2.2;9.6;11.8;5.7;0.8;0.8;3.9;3.1;31.1
23;Paolo Banchero;PF;20;ORL;72;72;33.8;6.7;15.6;0.427;1.2;4;0.298;5.5;11.6;0.471;0.465;5.5;7.4;0.738;1.2;5.7;6.9;3.7;0.8;0.5;2.8;2.2;20
27;Harrison Barnes;PF;30;SAC;82;82;32.5;4.6;9.6;0.473;1.6;4.3;0.374;3;5.3;0.553;0.556;4.3;5;0.847;1.1;3.4;4.5;1.6;0.7;0.1;1;1.3;15
28;Scottie Barnes;PF;21;TOR;77;76;34.8;6;13.2;0.456;0.8;2.9;0.281;5.2;10.3;0.505;0.487;2.5;3.2;0.772;2.3;4.3;6.6;4.8;1.1;0.8;2;2.2;15.3
33;Nicolas Batum;PF;34;LAC;78;19;21.9;2.1;4.9;0.42;1.6;4.1;0.391;0.5;0.8;0.563;0.583;0.4;0.6;0.708;0.8;3;3.8;1.6;0.7;0.6;0.6;1.9;6.1
34;Darius Bazley;PF;22;TOT;43;1;14.3;1.9;4.3;0.454;0.5;1.2;0.377;1.5;3;0.485;0.508;0.9;1.6;0.543;0.8;2.4;3.2;0.9;0.5;0.8;0.6;1;5.2
38;D?vis Bert?ns;PF;30;DAL;45;1;10.9;1.5;3.6;0.431;1.2;3.1;0.39;0.3;0.4;0.737;0.603;0.3;0.3;0.867;0.2;1;1.2;0.5;0.2;0.2;0.2;1.2;4.6
46;Bojan Bogdanovi?;PF;33;DET;59;59;32.1;7.3;14.9;0.488;2.5;6;0.411;4.8;9;0.539;0.57;4.5;5.1;0.884;0.6;3.2;3.8;2.6;0.6;0.1;2.3;1.9;21.6
47;Bol Bol;PF;23;ORL;70;33;21.5;3.7;6.8;0.546;0.4;1.6;0.265;3.3;5.2;0.633;0.577;1.2;1.5;0.759;1;4.8;5.8;1;0.4;1.2;1.6;1.3;9.1
51;Chris Boucher;PF;30;TOR;76;0;20;3.4;7;0.493;0.8;2.5;0.328;2.6;4.5;0.585;0.552;1.7;2.2;0.762;2.1;3.5;5.5;0.4;0.6;0.8;0.5;1.9;9.4
56;Jarrell Brantley;PF;26;UTA;4;0;9.8;2;3.5;0.571;1;2.3;0.444;1;1.3;0.8;0.714;0.5;0.5;1;0.3;1.3;1.5;0.8;0;0.5;0.5;0.8;5.5
63;Greg Brown III;PF;21;POR;16;0;5.8;0.7;1.8;0.393;0.1;0.4;0.143;0.6;1.3;0.476;0.411;0.3;0.8;0.417;0.1;1.1;1.2;0.2;0.3;0.3;0.4;0.8;1.8
80;Vlatko ?an?ar;PF;25;DEN;60;9;14.8;1.8;3.8;0.476;0.7;1.9;0.374;1.1;1.9;0.58;0.57;0.6;0.7;0.927;0.4;1.7;2.1;1.3;0.4;0.2;0.6;1.4;5
92;Brandon Clarke;PF;26;MEM;56;8;19.5;4.1;6.2;0.656;0;0.1;0.167;4.1;6.1;0.665;0.658;1.8;2.4;0.723;1.6;3.9;5.5;1.3;0.6;0.7;1;2.3;10
96;John Collins;PF;25;ATL;71;71;30;5.1;10;0.508;1;3.4;0.292;4.1;6.6;0.619;0.557;2;2.5;0.803;1.1;5.4;6.5;1.2;0.6;1;1.1;3.1;13.1
101;Xavier Cooks;PF;27;WAS;10;1;12.6;1.7;2.8;0.607;0;0.1;0;1.7;2.7;0.63;0.607;0.4;1;0.4;1.6;2.2;3.8;0.6;0.6;0.4;0.8;1.3;3.8
102;Robert Covington;PF;32;LAC;48;0;16.2;2.1;4.8;0.445;1.1;2.8;0.397;1;1.9;0.516;0.563;0.6;0.8;0.75;0.6;2.8;3.5;1.2;0.8;0.7;0.7;1.8;6
